id;name;2013;history1;history2;history3;history4;history5;history6;history7;history8;history9
32;Anhui;32001;28792;25659;20888;16408;14448;12039;9996;8631;7681
3;Beijing;94648;87475;81658;73856;66940;64491;60096;51722;45993;40916
33;Fujian;58145;52763;47377;40025;33437;29755;25582;21105;18353;16235
19;Gansu;24539;21978;19595;16113;13269;12421;10614;8945;7477;6566
27;Guangdong;58833;54095;50807;44736;39436;37638;33272;28534;24647;20876
26;Guangxi;30741;27952;25326;20219;16045;14652;12277;10121;8590;7461
24;Guizhou;23151;19710;16413;13119;10971;9855;7878;6305;5394;4317
16;Hainan;35663;32377;28898;23831;19254;17691;14923;12810;11165;10067
2;Hebei;38909;36584;33969;28668;24581;22986;19662;16682;14659;12487
8;Heilongjiang;34211;31499;28661;24446;20597;19181;16012;13172;11346;9201
17;Henan;37697;35711;32819;27076;22447;21740;18580;16255;14440;12449
29;Hubei;42826;38572;34197;27906;22677;19858;16386;13360;11554;9898
30;Hunan;36943;33480;29880;24719;20428;18147;14869;12139;10562;9165
6;Jiangsu;47428;43415;38460;31599;26595;23521;19383;15720;13348;11537
31;Jiangxi;75354;68347;62290;52840;44253;40014;33837;28526;24616;20031
7;Jilin;31930;28800;26150;21253;17335;15900;13322;11145;9440;8097
1;Liaoning;61996;56649;50760;42355;35149;31739;26057;21914;19074;15835
9;Neimenggu;67836;63886;57974;47347;39735;34869;26521;20523;16285;12728
13;Ningxia;39613;36394;33043;26860;21777;19609;15142;12099;10349;9199
10;Qinghai;36875;33181;29522;24115;19454;18421;14507;11889;10045;8693
11;Shandong;56885;51768;47335;41106;35894;32936;27604;23603;19934;16413
14;Shanxi;34984;33628;31357;26283;21522;21506;17805;14497;12647;10741
35;Shanxi;43118;38564;33464;27133;21947;19700;15546;12840;10674;8638
4;Shanghai;90993;85373;82560;76074;69164;66932;62041;54858;49649;44839
22;Sichuan;32617;29608;26133;21182;17339;15495;12963;10613;9060;7895
12;Tianjin;100105;93173;85213;72994;62574;58656;47970;42141;37796;30575
21;Tibet;26326;22936;20077;17319;15295;13824;12083;10422;9036;8103
18;Sinkiang;37553;33796;30087;25034;19942;19797;16999;15000;13108;11337
23;Yunnan;25322;22195;19265;15752;13539;12570;10609;8929;7809;7012
34;Zhejiang;68805;63374;59249;51711;43842;41405;36676;31241;27062;23817
28;Chongqing;43223;38914;34500;27596;22920;20490;16629;13939;12404;10845
