id;name;2013;history001;history002;history003;history004;history005;history006;history007;history008;history009
32;Anhui;6,030;5,988;5,968;5,957;6,131;6,135;6,118;6,110;6,120;6,228
3;Beijing;2,115;2,069;2,019;1,962;1,860;1,771;1,676;1,601;1,538;1,493
33;Fujian;3,774;3,748;3,720;3,693;3,666;3,639;3,612;3,585;3,557;3,529
19;Gansu;2,582;2,578;2,564;2,560;2,555;2,551;2,548;2,547;2,545;2,541
27;Guangdong;10,644;10,594;10,505;10,441;10,130;9,893;9,660;9,442;9,194;9,111
26;Guangxi;4,719;4,682;4,645;4,610;4,856;4,816;4,768;4,719;4,660;4,889
24;Guizhou;3,502;3,484;3,469;3,479;3,537;3,596;3,632;3,690;3,730;3,904
16;Hainan;895;887;877;869;864;854;845;836;828;818
2;Hebei;7,333;7,288;7,241;7,194;7,034;6,989;6,943;6,898;6,851;6,809
8;Heilongjiang;9,413;9,406;9,388;9,405;9,487;9,429;9,360;9,392;9,380;9,717
17;Henan;3,835;3,834;3,834;3,833;3,826;3,825;3,824;3,823;3,820;3,817
29;Hubei;5,799;5,779;5,758;5,728;5,720;5,711;5,699;5,693;5,710;5,698
30;Hunan;6,691;6,639;6,596;6,570;6,406;6,380;6,355;6,342;6,326;6,698
6;Jiangsu;2,751;2,750;2,749;2,747;2,740;2,734;2,730;2,723;2,716;2,709
31;Jiangxi;7,939;7,920;7,899;7,869;7,810;7,762;7,723;7,656;7,588;7,523
7;Jilin;4,522;4,504;4,488;4,462;4,432;4,400;4,368;4,339;4,311;4,284
1;Liaoning;4,390;4,389;4,383;4,375;4,341;4,315;4,298;4,271;4,221;4,217
9;Neimenggu;2,498;2,490;2,482;2,472;2,458;2,444;2,429;2,415;2,403;2,393
13;Ningxia;654;647;639;633;625;618;610;604;596;588
10;Qinghai;578;573;568;563;557;554;552;548;543;539
11;Shandong;9,733;9,685;9,637;9,588;9,470;9,417;9,367;9,309;9,248;9,180
4;Shanghai;3,630;3,611;3,593;3,574;3,427;3,411;3,393;3,375;3,355;3,335
14;Shanxi;3,764;3,753;3,743;3,735;3,727;3,718;3,708;3,699;3,690;3,681
35;Shanxi;2,415;2,380;2,347;2,303;2,210;2,141;2,064;1,964;1,890;1,835
22;Sichuan;8,107;8,076;8,050;8,045;8,185;8,138;8,127;8,169;8,212;8,090
18;Sinkiang;1,472;1,413;1,355;1,299;1,228;1,176;1,115;1,075;1,043;1,024
12;Tianjin;312;308;303;300;296;292;289;285;280;276
21;Tibet;2,264;2,233;2,209;2,185;2,159;2,131;2,095;2,050;2,010;1,963
23;Yunnan;4,687;4,659;4,631;4,602;4,571;4,543;4,514;4,483;4,450;4,415
34;Zhejiang;5,498;5,477;5,463;5,447;5,276;5,212;5,155;5,072;4,991;4,925
28;Chongqing;2,970;2,945;2,919;2,885;2,859;2,839;2,816;2,808;2,798;2,793
