Year,GDP(0.1 Billion),Population(10 Thousand)
2013,588018.8,136072
2012,534123,135404
2011,484123.5,134735
2010,408903,134091
2009,345629.2,133450
2008,316751.7,132802
2007,268019.4,132129
2006,217656.6,131448
2005,185895.8,130756
2004,160714.4,129988
2003,136564.6,129227
2002,121002,128453
2001,110270.4,127627
2000,99776.3,126743
1999,90187.7,125786
1998,84883.7,124761
1997,79429.5,123626
1996,71572.3,122389
1995,61129.8,121121
1994,48459.6,119850
1993,35524.3,118517
1992,27068.3,117171
1991,21895.5,115823
1990,18774.3,114333
1989,17090.3,112704
1988,15101.1,111026
1987,12102.2,109300
1986,10308.8,107507
1985,9039.9,105851
1984,7226.3,104357
1983,5975.6,103008
1982,5333,101654
1981,4898.1,100072
1980,4551.6,98705
1979,4067.7,97542
1978,3650.2,96259
